IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.58.163,4,4,0.00,62.93,30.51
162.159.39.55,4,4,0.00,61.98,28.07
162.159.15.15,4,4,0.00,61.85,27.27
172.64.150.18,4,4,0.00,63.77,26.60
108.162.193.74,4,4,0.00,61.68,24.59
172.64.48.30,4,4,0.00,63.68,22.23
162.159.43.9,4,4,0.00,60.79,22.05
172.64.153.208,4,4,0.00,59.70,21.61
172.64.154.118,4,4,0.00,63.72,21.59
172.64.147.148,4,4,0.00,60.12,21.23
162.159.42.197,4,4,0.00,62.12,21.04
172.64.157.68,4,4,0.00,60.33,20.78
162.159.49.237,4,4,0.00,63.41,20.53
162.159.20.41,4,4,0.00,63.72,20.33
172.64.42.146,4,4,0.00,60.75,20.02
162.159.22.1,4,4,0.00,62.28,19.71
108.162.198.80,4,4,0.00,51.90,19.09
162.159.48.55,4,4,0.00,62.60,14.85
162.159.45.50,4,4,0.00,57.78,13.70
162.159.5.35,4,4,0.00,59.64,13.22
